"_type","associated_parts","file_urls","files","image_urls","information","manufacturer","manufacturer_part","origin_country","overview","primary_image_url","stock_count","title","trail","unit_price","url"
"FarnellItem","9988S-2M,9988S-8M,1.500206","http://www.farnell.com/datasheets/1499649.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""4Outlets""},{""name"":""Outlet Type:"",""value"":""UK""},{""name"":""Current Rating:"",""value"":""13A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""UK""},{""name"":""Cable Length:"",""value"":""5m""},{""name"":""Peak Surge Current:"",""value"":""-""},{""name"":""Energy Rating:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","9988S-5M","China","Surge protected extension lead with integral neon indicator. Rated at 13A and conforms to BS 1363/A.","http://uk.farnell.com/productimages/large/en_GB/PL11232-40.jpg","1","9988S-5M PRO ELEC, 4 Gang Surge Protected Extension Lead, White 5m","Electrical,Power Outlet Strips - with Surge Protection","898","http://uk.farnell.com/pro-elec/9988s-5m/extension-lead-4way-surge-5m/dp/1286494"
"FarnellItem","74273713","","","","","LAIRD TECHNOLOGIES","ZES-IS-150X13","Czech Republic","The ZES-IS-150X13-FAR is a ZEMREX Earthing Strap. The straps are designed to provide low impedance paths for EMG generated currents. Flexible and easy to fit they provide a low cost effective way of reducing EMC problems associated with conventional earth straps. At high frequencies the inductive resistance of round wire earth straps increases due to the 'skin effect'. This can be significantly reduced by using ZEMREX straps which present a large surface area. The straps are completely tinned to provide corrosion resistance and can be supplied with all round insulation as an option.
	


    
          
    Enclosure panels and doors to main chassis
          
    CRT drive board to chassis
          
    PCB to main board
          
    Polyolefin insulation
          
    -55 to 135°C Insulation operating temperature range
        
    
    
    
 

    
            Applications
            
            
                        RF Communications","http://uk.farnell.com/productimages/large/en_GB/2097545.jpg","1","ZES-IS-150X13 LAIRD TECHNOLOGIES, EARTH STRAP, 152.4MM","Electrical,Earthing","521","http://uk.farnell.com/laird-technologies/zes-is-150x13/earth-strap-152-4mm/dp/1219163"
"FarnellItem","4732.0000","http://www.farnell.com/datasheets/1961202.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""4Outlets""},{""name"":""Outlet Type:"",""value"":""IEC 60320 C13""},{""name"":""Current Rating:"",""value"":""15A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""IEC 60320 C14 Inlet""},{""name"":""Cable Length:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","SCHURTER","4747.0000","Czech Republic","The 4747.0000 is a Distribution Unit with 1 IEC appliance inlet C14, 4 appliance outlets F and UL94V-0 flame-rated black thermoplastic housing. Suitable for use in equipment according to IEC/UL 60950.
	


    
          
    Standalone module
          
    Class I protection
          
    -25 to 70°C Operating temperature
        
    
    
    
 

    
            Applications
            
            
                        Power Management","http://uk.farnell.com/productimages/large/en_GB/1125809-40.jpg","1","4747.0000 SCHURTER, Power Outlet Strip, IEC Distribution Unit, 4 Outlets, IEC 60320 C13, 15 A, 250 V","Electrical,Power Outlet Strips","1485","http://uk.farnell.com/schurter/4747-0000/inlet-outlet-iec-4outlet-black/dp/1125809"
"FarnellItem","9988-1M,1.500206","http://www.farnell.com/datasheets/1499648.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""4Outlets""},{""name"":""Outlet Type:"",""value"":""UK""},{""name"":""Current Rating:"",""value"":""13A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""UK""},{""name"":""Cable Length:"",""value"":""2m""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","9988-2M","China","4-Gang extension with 2m lead
          
    Rated at 13A and conform to BS 1363/A","http://uk.farnell.com/productimages/large/en_GB/PL09180-40.jpg","1","9988-2M PRO ELEC, 4 Gang Extension Lead, White 2m","Electrical,Power Outlet Strips","768","http://uk.farnell.com/pro-elec/9988-2m/extension-lead-4way-2m/dp/1286475"
"FarnellItem","0138-W,646WHI,3183Y-1.50MMWHT","http://www.farnell.com/datasheets/1835614.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""1Outlets""},{""name"":""Outlet Type:"",""value"":""-""},{""name"":""Current Rating:"",""value"":""13A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""-""},{""name"":""Cable Length:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","MK","FC133WHI","Malaysia","The FC133WHI is a 13A rated white single gang Trailing Socket. Made of polypropylene with rubber cover. Heavy duty construction.
	


    
          
    All internal component parts are retained in base for ease of wiring
          
    Visible red nylon shutters
        
    
    
    
 

    
            Applications
            
            
                        Power Management","http://uk.farnell.com/productimages/large/en_GB/42249432.jpg","1","FC133WHI MK, Power Outlet Strip, 1 Outlets, 13 A, 250 V","Electrical,Power Outlet Strips","363","http://uk.farnell.com/mk/fc133whi/socket-trailing-13a-white/dp/313555"
"FarnellItem","","","","","{""name"":""Product Range:"",""value"":""-""}","WURTH ELEKTRONIK","74271","Germany","","http://uk.farnell.com/productimages/large/en_GB/2528517-40.jpg","1","74271 WURTH ELEKTRONIK, Ferrite Safety Key, Black","Electrical,Electrical Accessories","364","http://uk.farnell.com/wurth-elektronik/74271/ferrite-safety-key-black/dp/2528517"
"FarnellItem","2068-1M,2068B-2M,1.500206","http://www.farnell.com/datasheets/1499648.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""6Outlets""},{""name"":""Outlet Type:"",""value"":""UK""},{""name"":""Current Rating:"",""value"":""13A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""UK""},{""name"":""Cable Length:"",""value"":""2m""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","2068-2M","China","A 6-gang extension lead. Rated at 13A and conforms to BS 1363/A.","http://uk.farnell.com/productimages/large/en_GB/PL09192-40.jpg","1","2068-2M PRO ELEC, 6 Gang Extension Lead, White 2m","Electrical,Power Outlet Strips","930","http://uk.farnell.com/pro-elec/2068-2m/extension-lead-6way-2m/dp/1286480"
"FarnellItem","9988S-5M,1.500206","http://www.farnell.com/datasheets/1499649.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""4Outlets""},{""name"":""Outlet Type:"",""value"":""UK""},{""name"":""Current Rating:"",""value"":""13A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""UK""},{""name"":""Cable Length:"",""value"":""2m""},{""name"":""Peak Surge Current:"",""value"":""-""},{""name"":""Energy Rating:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","9988S-2M","China","Surge protected extension lead with integral neon indicator. Rated at 13A and conforms to BS 1363/A.","http://uk.farnell.com/productimages/large/en_GB/PL11232-40.jpg","1","9988S-2M PRO ELEC, 4 Gang Surge Protected Extension Lead, White 2m","Electrical,Power Outlet Strips - with Surge Protection","544","http://uk.farnell.com/pro-elec/9988s-2m/extension-lead-4way-surge-2m/dp/1286492"
"FarnellItem","74273713","http://www.farnell.com/datasheets/24582.pdf","(EN)","","{""name"":""Product Range:"",""value"":""Zemrex ZES series""}","LAIRD TECHNOLOGIES","ZES-NI-150X13","Taiwan","The ZES-NI-150x13 copper earthing strap are completely tinned to provide corroosion resistance. Flexible and easy to fit they are a low cost effective way of reducing EMC problems.
	


    
          
    Earthing straps designed to provide low impedance paths for EMC generated currents
          
    Manufactured from tin plated copper","http://uk.farnell.com/productimages/large/en_GB/1219152-40.jpg","1","ZES-NI-150X13 LAIRD TECHNOLOGIES, Earthing Strap, Non-Insulated, 150mm x 13 mm, Tinned Copper, Fixing Hole 4.75 mm Diameter","Electrical,Earthing","587","http://uk.farnell.com/laird-technologies/zes-ni-150x13/earth-strap/dp/1219152"
"FarnellItem","","http://www.farnell.com/datasheets/2025605.pdf","(EN)","http://uk.farnell.com/productimages/large/en_GB/EN84628-504.jpg,http://uk.farnell.com/productimages/large/en_GB/EN84628-505.jpg,http://uk.farnell.com/productimages/large/en_GB/EN84628-506.jpg,http://uk.farnell.com/productimages/large/en_GB/EN84628-507.jpg,http://uk.farnell.com/productimages/large/en_GB/EN84628-508.jpg,http://uk.farnell.com/productimages/large/en_GB/EN84628-509.jpg","{""name"":""No. of Ways:"",""value"":""-""},{""name"":""Current Rating:"",""value"":""41A""},{""name"":""Product Range:"",""value"":""Raytech Gelbox""}","RAYTECH","WATT-MP","Italy","Designed to work with the most commonly used connectors
          
    Ideal for civil, domestic and industrial connections
          
    For up to 5 core 4mm² cores using lever arm connectors
          
    Re-enterable and reusable
          
    Non-toxic gel with no shelf life
          
    Fully submersible in salt or chlorinated water
          
    IPX8 rated
          
    Rated up to 1kV
          
    Dimensions: 30x38x26mm","http://uk.farnell.com/productimages/large/en_GB/EN84833-40.jpg","1","WATT-MP RAYTECH, Junction Box, 41 A, Raytech Gelbox","Electrical,Junction Boxes","2095","http://uk.farnell.com/raytech/watt-mp/junction-box-gel-filled-ipx-8/dp/2530476"
